attributes.name,attributes.life.max,attributes.life.min,attributes.male_weight.max,attributes.male_weight.min,attributes.female_weight.max,attributes.female_weight.min,attributes.hypoallergenic
Affenpinscher,16,14,5,3,5,3,True
Afghan Hound,14,12,27,23,25,20,False
Airedale Terrier,14,12,23,20,20,18,False
Akita,12,10,60,35,50,35,False
Alaskan Klee Kai,15,12,7,6,7,6,False
Alaskan Malamute,15,12,39,34,34,25,False
American Bulldog,14,12,50,25,45,25,False
American English Coonhound,14,12,30,20,30,20,False
American Eskimo Dog,15,12,20,9,20,9,False
American Foxhound,15,12,34,20,34,20,False
American Hairless Terrier,14,12,7,6,7,6,False
American Leopard Hound,15,12,40,30,35,25,False
American Staffordshire Terrier,14,12,40,18,40,18,False
American Water Spaniel,14,12,20,15,20,15,False
Anatolian Shepherd Dog,14,12,70,50,70,50,False
Appenzeller Sennenhund,15,12,45,30,45,30,False
Australian Cattle Dog,15,12,20,16,20,16,False
Australian Kelpie,14,12,20,16,20,16,False
Australian Shepherd,15,12,30,20,25,17,False
Australian Stumpy Tail Cattle Dog,15,12,20,15,20,15,False
Australian Terrier,16,14,6,4,6,4,False
Azawakh,14,12,30,25,30,25,False
Barbado da Terceira,15,12,20,15,20,15,False
Barbet,14,12,30,20,30,20,False
Basenji,16,14,10,9,10,9,False
Basset Fauve de Bretagne,15,12,25,20,25,20,False
Basset Hound,14,12,29,20,29,20,False
Bavarian Mountain Scent Houn,15,12,30,20,30,20,False
Beagle,15,12,11,9,11,9,False
Bearded Collie,14,12,25,20,25,20,False
Beauceron,14,12,30,25,30,25,False
Bedlington Terrier,14,12,9,7,9,7,False
Belgian Laekenois,15,12,30,25,30,25,False
Belgian Malinois,14,12,30,25,25,20,False
Belgian Sheepdog,14,12,30,25,30,25,False
Belgian Tervuren,15,12,25,20,25,20,False
Bergamasco Sheepdog,15,12,45,25,45,25,False
Berger Picard,14,12,25,20,25,20,False
Bernese Mountain Dog,10,8,70,45,70,45,False
Bichon Frise,16,14,5,3,5,3,True
Biewer Terrier,16,14,3,2,3,2,False
Black and Tan Coonhound,15,12,30,20,30,20,False
Black Russian Terrier,12,10,60,40,60,40,False
Bloodhound,12,10,54,36,54,36,False
Bluetick Coonhound,14,12,30,20,30,20,False
Boerboel,12,10,80,50,80,50,False
Bohemian Shepherd,14,12,30,20,30,20,False
Bolognese,16,14,7,4,7,4,False
Border Collie,16,12,30,20,25,17,False
Border Terrier,16,14,8,6,8,6,False
Borzoi,12,10,45,30,35,25,False
Boston Terrier,14,12,11,5,11,5,False
Bouvier des Flandres,14,10,40,30,35,25,False
Boxer,12,10,32,25,29,20,False
Boykin Spaniel,15,12,16,15,16,15,False
Bracco Italiano,14,12,30,25,30,25,False
Braque du Bourbonnais,15,12,30,20,30,20,False
Braque Francais Pyrenean,14,12,30,20,30,20,False
Briard,12,10,40,30,35,25,False
Brittany,14,12,25,17,25,17,False
Broholmer,10,8,30,20,30,20,False
Brussels Griffon,15,12,4,2,4,2,False
Bulldog,10,8,25,20,25,20,False
Bullmastiff,10,8,59,50,54,45,False
Bull Terrier,15,12,22,18,20,16,False
Cairn Terrier,16,14,6,5,6,5,False
Canaan Dog,14,12,20,15,20,15,False
Cane Corso,12,10,50,40,45,35,False
Cardigan Welsh Corgi,15,12,15,10,14,10,False
