Hectare	Shift	Date	Anonymized Sighter	Sighter Observed Weather Data	Litter	Litter Notes	Other Animal Sightings	Hectare Conditions	Hectare Conditions Notes	Number of sighters	Number of Squirrels	Total Time of Sighting
01A	AM	10072018	110.0	70º F, Foggy	Some		Humans, Pigeons	Busy		1	4	22.0
01A	PM	10142018	177.0	54º F, overcast	Abundant		Humans, Pigeons	Busy		1	7	26.0
01B	AM	10122018	11.0	60º F, sunny	Some		Humans, Dogs, Pigeons, Horses	Busy		1	17	23.0
01B	PM	10192018	109.0	59.8º F, Sun, Cool	Some		Humans, Dogs, Pigeons, Sparrow, Blue jay	Busy		1	10	35.0
01C	PM	10132018	241.0	55° F, Partly Cloudy			Humans, Dogs, Pigeons, Birds	Busy		1	10	25.0
01D	AM	10062018	250.0	66º F, cloudy, light drizzle	Some		Humans	Calm		1	9	35.0
01E	AM	10062018	218.0	65º F approx, misty	Some		Humans	Calm		1	5	26.0
01F	AM	10102018	123.0	74º F, Partly cloudy, no wind			Humans, Dogs, Ducks	Calm		1	5	20.0
01F	PM	10192018	241.0	59º F, Clear			Humans, Dogs, Pigeons, Birds	Busy		1	3	24.0
01G	PM	10102018	151.0	77º F, Warm, sunny, humid			Humans, Dogs, Cats, Raccoons	Busy		1	3	28.0
01G	AM	10062018	232.0	64º F, cloudy, light drizzle			Humans, Dogs, Pigeons, Ducks, Bluejay, Sparrow, Starling	Busy		1	4	25.0
01H	PM	10132018	27.0	56° F, Cloudy			Humans	Busy		1	2	28.0
01H	AM	10122018	224.0	59º F, mostly sunny, windy	Some		Humans, Pigeons, Small birds	Busy		1	2	27.0
01I	AM	10072018	8.0	71º F, Cloudy	Some		Humans, Dogs, Pigeons, Horses	Calm		1	0	28.0
02A	AM	10102018	66.0	73º F, Cloudy, 85% humidity	Abundant		Humans, Dogs	Busy		1	9	25.0
02A	PM	10192018	109.0	55º F, Sun	Some		Humans, Dogs, Pigeons, Downy Woodpecker, Sparrows	Calm		1	6	30.0
02C	AM	10102018	66.0	70º F			Humans, Small birds	Busy		1	9	25.0
02D	AM	10072018	116.0	71º F, cloudy			Humans, Dogs	Calm		1	6	25.0
02D	PM	10122018	134.0	61º F, sunny			Humans	Busy		1	2	35.0
02E	AM	10102018	167.0	73º F			Humans, Hawks, Dogs	Calm		1	7	20.0
02E	PM	10142018	177.0	58º F, overcast	Some		Humans, Dogs	Busy		1	5	22.0
02F	AM	10062018	126.0	64º F, slight wind, dew point 59, misty	Some		Humans, Dogs	Calm		1	5	25.0
02G	AM	10102018	60.0	73º F, Overcast			Humans, Dogs	Busy		1	4	20.0
02G	PM	10072018	119.0	80º F, Humid. Party. Cloudy.			Humans, Pigeons, Mice	Calm		1	3	22.0
02H	AM	10062018	116.0	65º F, cloudy			Humans, Pigeons, Ducks, Geese			1	3	22.0
02H	PM	10062018	196.0	67º F, Cloudy, mist-rain	Some		Humans, Dogs	Busy		1	2	30.0
02I	AM	10062018	56.0	65º F, overcast	Some		Humans, Pigeons	Busy		1	2	28.0
02I	PM	10062018	134.0							1	2	20.0
03A	PM	10172018	241.0	60º F, mostly cloudy			Humans, Dogs, Birds	Calm		1	8	25.0
03B	PM	10072018	231.0	80º F, Cloudy. Humid	Some		Humans, Dogs	Busy		1	11	15.0
03C	AM	10072018	116.0	71º F, Cloudy			Humans, Dogs	Calm		1	2	20.0
03C	PM	10082018	134.0	62º F, overcast	Some		Humans, Dogs	Busy		1	2	30.0
