JobID           JobName  Partition    Account  AllocCPUS      State ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- -------- 
10106617     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10106617.ba+      batch                ds2002          2  CANCELLED     0:15 
10107489     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10107489.ba+      batch                ds2002          2  CANCELLED     0:15 
10112889     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10112889.ba+      batch                ds2002          2  CANCELLED     0:15 
10116505     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10116505.ba+      batch                ds2002          2  CANCELLED     0:15 
10124372     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10124372.ba+      batch                ds2002          2  CANCELLED     0:15 
10172332     ood_vscode interacti+     ds2002          2     FAILED      1:0 
10172332.ba+      batch                ds2002          2     FAILED      1:0 
10174546     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10174546.ba+      batch                ds2002          2  CANCELLED     0:15 
10322437     ood_vscode interacti+     ds2002          2    TIMEOUT      0:0 
10322437.ba+      batch                ds2002          2  CANCELLED     0:15 
10323356           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323356.ba+      batch                ds2002          1  COMPLETED      0:0 
10323359           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323359.ba+      batch                ds2002          1  COMPLETED      0:0 
10323379           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323379.ba+      batch                ds2002          1  COMPLETED      0:0 
10323381           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323381.ba+      batch                ds2002          1  COMPLETED      0:0 
10323384           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323384.ba+      batch                ds2002          1  COMPLETED      0:0 
10323386           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323386.ba+      batch                ds2002          1  COMPLETED      0:0 
10323393           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323393.ba+      batch                ds2002          1  COMPLETED      0:0 
10323394           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323394.ba+      batch                ds2002          1  COMPLETED      0:0 
10323406           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323406.ba+      batch                ds2002          1  COMPLETED      0:0 
10323411           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323411.ba+      batch                ds2002          1  COMPLETED      0:0 
10323414           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323414.ba+      batch                ds2002          1  COMPLETED      0:0 
10323415           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323415.ba+      batch                ds2002          1  COMPLETED      0:0 
10323421           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323421.ba+      batch                ds2002          1  COMPLETED      0:0 
10323432           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323432.ba+      batch                ds2002          1  COMPLETED      0:0 
10323439           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323439.ba+      batch                ds2002          1  COMPLETED      0:0 
10323444           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323444.ba+      batch                ds2002          1  COMPLETED      0:0 
10323448           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323448.ba+      batch                ds2002          1  COMPLETED      0:0 
10323455           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323455.ba+      batch                ds2002          1  COMPLETED      0:0 
10323457           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323457.ba+      batch                ds2002          1  COMPLETED      0:0 
10323465           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323465.ba+      batch                ds2002          1  COMPLETED      0:0 
10323469           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323469.ba+      batch                ds2002          1  COMPLETED      0:0 
10323482           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323482.ba+      batch                ds2002          1  COMPLETED      0:0 
10323487           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323487.ba+      batch                ds2002          1  COMPLETED      0:0 
10323494           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323494.ba+      batch                ds2002          1  COMPLETED      0:0 
10323497           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323497.ba+      batch                ds2002          1  COMPLETED      0:0 
10323502           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323502.ba+      batch                ds2002          1  COMPLETED      0:0 
10323508           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323508.ba+      batch                ds2002          1  COMPLETED      0:0 
10323516           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323516.ba+      batch                ds2002          1  COMPLETED      0:0 
10323518           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323518.ba+      batch                ds2002          1  COMPLETED      0:0 
10323521           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323521.ba+      batch                ds2002          1  COMPLETED      0:0 
10323525           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323525.ba+      batch                ds2002          1  COMPLETED      0:0 
10323526           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323526.ba+      batch                ds2002          1  COMPLETED      0:0 
10323531           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323531.ba+      batch                ds2002          1  COMPLETED      0:0 
10323533           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323533.ba+      batch                ds2002          1  COMPLETED      0:0 
10323535           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323535.ba+      batch                ds2002          1  COMPLETED      0:0 
10323537           lab7 standard-+     ds2002          1  COMPLETED      0:0 
10323537.ba+      batch                ds2002          1  COMPLETED      0:0 
