word,count
a,567
abandon,4
abide,1
ability,1
able,23
about,73
above,4
abruptly,1
absolutely,3
accept,5
acceptance,1
access,11
accessible,1
accordance,2
accumulate,2
accurately,1
accusation,1
accuse,3
ache,1
achieve,2
achievement,1
acquire,2
across,8
act,1
action,2
active,2
actual,1
actually,7
add,2
addition,2
additional,3
address,3
adhesive,2
adjoining,1
admit,3
adult,1
advantage,1
advice,1
advise,1
affair,1
affection,1
afraid,3
after,38
afterwards,2
again,39
against,28
age,3
agent,1
aggrieve,1
agitated,1
ago,3
agree,12
agreement,18
ah,1
ahead,2
aim,1
air,6
alarm,7
albeit,1
alert,1
all,153
allow,7
almonds,1
almost,20
alone,3
along,5
already,24
alright,5
also,17
alteration,1
alternate,1
although,19
altogether,1
always,18
amaze,4
amazement,2
among,1
amount,1
an,36
ancient,1
and,711
anew,1
anger,3
angle,1
angry,1
animal,4
anna,2
announcement,1
annoy,2
annoyed,2
another,9
answer,8
answered,1
antenna,1
anticipation,1
anxiety,1
anxious,1
anxiously,4
any,84
anyone,13
anything,16
anyway,6
anywhere,4
apart,3
appeal,3
appear,10
appearance,4
apple,6
applicable,3
apply,1
appreciate,2
appreciation,1
apprentice,1
approach,2
appropriate,1
approve,1
arc,1
arch,1
archive,13
arduous,1
area,1
aren,2
arise,1
arm,18
armchair,1
armour,1
army,1
around,20
arrange,3
arrangement,2
array,1
arrive,5
as,30
ascii,2
aside,2
ask,19
asleep,5
assail,1
assistance,1
assistant,2
associate,7
associated,1
assume,1
assure,1
asthma,1
astonish,2
astonished,2
at,183
attached,1
attack,2
attacker,1
attempt,1
attention,14
attentive,1
attract,2
attribute,1
austere,1
author,1
authority,1
available,3
ave,1
avoid,3
awake,2
aware,6
away,35
awful,1
awkwardly,1
b,2
back,83
backwards,4
bad,4
badly,2
balance,1
ball,1
bang,1
banister,2
bank,2
banking,1
bare,3
barren,1
barricade,1
base,2
basis,1
be,827
bear,5
beard,3
beautiful,2
beautifully,1
because,24
become,38
bed,31
bedding,1
bedpost,1
bedroom,5
bedsheet,1
beer,1
beetle,2
before,42
beg,4
begin,22
beginning,2
behalf,2
behave,1
behaviour,3
behest,1
behind,16
being,1
believe,5
belly,3
belonging,1
below,6
bend,3
benefit,1
bent,5
beside,5
besides,2
best,4
between,7
beyond,1
big,3
bin,1
binary,1
bind,3
bit,3
bite,2
bitter,1
black,1
blanket,1
bleed,1
block,1
blossom,1
blouse,1
blow,4
blue,1
boa,1
body,24
bolt,2
bombard,1
bone,3
boot,2
bos,11
both,8
bother,1
bottle,3
bottom,1
bow,3
bowl,1
box,1
boy,1
bravely,1
breach,2
bread,2
breadth,1
break,8
breakfast,9
breast,1
breath,7
breathe,5
breathing,1
brief,1
briefly,4
bring,15
broad,3
broom,5
brother,2
brown,4
bucketful,1
budget,1
build,1
building,1
bulge,1
bulk,1
burdensome,2
burning,1
bushy,1
business,17
businessman,1
but,175
butcher,1
butter,1
button,3
by,86
c,5
calculate,2
call,20
calm,9
calmer,1
calmly,3
calmness,1
can,34
cannot,5
cap,3
captivate,1
card,1
care,1
career,1
carefree,1
careful,4
carefully,9
carelessly,1
carpet,6
carry,16
carve,1
case,1
cash,2
cashier,1
catch,8
cause,13
caustic,1
caution,1
cautious,2
cave,1
cease,1
ceiling,7
celebration,1
centre,1
certain,2
certainly,13
certainty,2
chair,19
chambermaid,1
chance,7
change,10
chaos,1
character,1
charge,7
charitable,1
charity,1
charlottenstrasse,1
charwoman,9
chase,4
cheap,1
check,7
cheek,3
cheer,1
cheerio,1
cheese,3
chest,14
chewing,1
chief,37
child,3
childish,1
chilly,1
chin,2
choice,2
choose,5
christmas,3
chuck,1
cigarette,1
circumstance,2
city,2
claim,2
clap,1
clean,6
cleaner,7
cleaning,1
clear,14
clearly,10
clench,1
clerk,37
clever,1
climb,3
clock,12
close,24
closely,2
closer,2
clothes,3
clumsily,1
clumsy,1
clutter,1
coat,5
code,1
coffee,3
cold,3
collapse,2
collar,2
collection,7
coma,1
comb,1
come,70
comfort,1
comfortable,3
comfortably,1
comment,2
commerce,1
commercial,2
commit,1
communicate,1
communication,1
companion,2
company,3
compare,1
compellingly,1
compilation,1
complaint,2
complete,1
completely,9
compliance,5
complicate,1
comply,9
comprehension,1
compress,1
computer,4
conceal,1
concede,1
concentrate,1
concentration,2
concept,2
concern,7
conclusion,3
condemn,1
condition,9
confidence,4
confident,1
confirm,2
confirmation,2
confuse,2
confusion,2
congratulate,1
connection,2
conscience,1
consciousness,1
consequential,1
conservatory,3
consider,5
considerable,2
