Hectare,Shift,Date,Anonymized Sighter,Sighter Observed Weather Data,Litter,Litter Notes,Other Animal Sightings,Hectare Conditions,Hectare Conditions Notes,Number of sighters,Number of Squirrels,Total Time of Sighting
01A,AM,10072018,110,"70º F, Foggy",Some,,"Humans, Pigeons",Busy,,1,4,22
01A,PM,10142018,177,"54º F, overcast",Abundant,,"Humans, Pigeons",Busy,,1,7,26
01B,AM,10122018,11,"60º F, sunny",Some,,"Humans, Dogs, Pigeons, Horses",Busy,,1,17,23
01B,PM,10192018,109,"59.8º F, Sun, Cool",Some,,"Humans, Dogs, Pigeons, Sparrow, Blue jay",Busy,,1,10,35
01C,PM,10132018,241,"55° F, Partly Cloudy",None,,"Humans, Dogs, Pigeons, Birds",Busy,,1,10,25
01D,AM,10062018,250,"66º F, cloudy, light drizzle",Some,,Humans,Calm,,1,9,35
01E,AM,10062018,218,"65º F approx, misty",Some,,Humans,Calm,,1,5,26
01F,AM,10102018,123,"74º F, Partly cloudy, no wind",None,,"Humans, Dogs, Ducks",Calm,,1,5,20
01F,PM,10192018,241,"59º F, Clear",None,,"Humans, Dogs, Pigeons, Birds",Busy,,1,3,24
01G,PM,10102018,151,"77º F, Warm, sunny, humid",None,,"Humans, Dogs, Cats, Raccoons",Busy,,1,3,28
01G,AM,10062018,232,"64º F, cloudy, light drizzle",None,,"Humans, Dogs, Pigeons, Ducks, Bluejay, Sparrow, Starling",Busy,,1,4,25
01H,PM,10132018,27,"56° F, Cloudy",None,,Humans,Busy,,1,2,28
01H,AM,10122018,224,"59º F, mostly sunny, windy",Some,,"Humans, Pigeons, Small birds",Busy,,1,2,27
01I,AM,10072018,8,"71º F, Cloudy",Some,,"Humans, Dogs, Pigeons, Horses",Calm,,1,0,28
02A,AM,10102018,66,"73º F, Cloudy, 85% humidity",Abundant,,"Humans, Dogs",Busy,,1,9,25
02A,PM,10192018,109,"55º F, Sun",Some,,"Humans, Dogs, Pigeons, Downy Woodpecker, Sparrows",Calm,,1,6,30
02C,AM,10102018,66,70º F,None,,"Humans, Small birds",Busy,,1,9,25
02D,AM,10072018,116,"71º F, cloudy",None,,"Humans, Dogs",Calm,,1,6,25
